,screenname,username,datetime,url,tweetText,source_domain,source_title,source_snippet,replies_count,retweets_count,likes_count,views_count,reply_to
3279,josmurinho,@josmurinho,2022-12-14 13:28:13+00:00,https://twitter.com/josmurinho/status/1603019026447630337,Harmoko jabatanya di samping ketua Golkar juga ketua MPR. Dialah yg memproklamirkan untuk memilih kembali Presiden Soeharto.Tentu tdk jauh beda kan.? Dengan ketua MPR yg sekarang yg mendengungkan penundaan pemilu dan perubahan konstitusi negara.,,,,1,6,14,,
3280,OposisiCerdas.com,@OposisiCerdas,2022-12-14 12:44:42+00:00,https://twitter.com/OposisiCerdas/status/1603008077003096064,Muslihat Penguasa dan Oligarki: Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024,oposisicerdas.com,Muslihat Penguasa dan Oligarki: Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024,Pengamat politik Rocky Gerung menilai wacana perpanjangan masa jabatan Presiden Joko Widodo lewat penundaan Pemilu sengaja digaungkan kembal...,9,30,39,,
3281,Democrazy News,@democrazymedia,2022-12-14 12:40:00+00:00,https://twitter.com/democrazymedia/status/1603006892892102659,Muslihat Penguasa dan Oligarki: 'Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024',democrazy.id,Muslihat Penguasa dan Oligarki: 'Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024',Muslihat Penguasa dan Oligarki: 'Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024',5,30,50,,
3282,GELORA NEWS,@geloraco,2022-12-15 00:57:48+00:00,https://twitter.com/geloraco/status/1603192568694865921,"Berembus Wacana Penundaan Pemilu, Sinyal Menuju Kematian Demokrasi?",gelora.co,"Berembus Wacana Penundaan Pemilu, Sinyal Menuju Kematian Demokrasi?",,10,12,40,,
3283,OposisiCerdas.com,@OposisiCerdas,2022-12-15 00:26:30+00:00,https://twitter.com/OposisiCerdas/status/1603184691796152320,"Berembus Wacana Penundaan Pemilu, Sinyal Menuju Kematian Demokrasi?",oposisicerdas.com,"Berembus Wacana Penundaan Pemilu, Sinyal Menuju Kematian Demokrasi?",Wacana penundaan Pemilu 2024 yang disampaikan Ketua MPR RI Bambang Soesatyo (Bamsoet) dan Ketua DPD RI LaNyalla Mattalitti dapat menimbulkan...,3,17,35,,
3284,Deslini,@Deslini2,2022-12-15 00:07:33+00:00,https://twitter.com/Deslini2/status/1603179922721505285,"Knp kau makhluk..?
Stress ya Anies smakin Melangit?
Si Bamsoet Ketua MPR aja habis di kritik krn minta Pemilu ditunda
Kau Rakyat Kecil pula yg minta Pemilu ditunda?
Siapa yg mau peduli sm kau Makhluk?
Iiiih..Lucunyalah kau ya
Capek kali kau brbuat bgtu
Kasihan kau
Neh Capres 2024",,,,1,1,20,,@nusantara_one
3285,Andi Darwis Syarifuddin,@AndiDarwis71,2022-12-14 23:22:31+00:00,https://twitter.com/AndiDarwis71/status/1603168587715608576,Politisi yg meminta Pemilu 2024 ditunda sedang sakit.,,,,3,10,35,,
3286,Djumadi Partosemito,@DjumadiPartose1,2022-12-14 22:14:58+00:00,https://twitter.com/DjumadiPartose1/status/1603151587169693697,Udah ribut dari awal....pertanda pemilu ditunda?,,,,1,,2,,@alisyarief
3287,MpuJayaPrema-ᬫ᭄ᬧᬸᬚᬬ᭢ᬧ᭄ᬭᬫ,@mpujayaprema,2022-12-14 21:54:57+00:00,https://twitter.com/mpujayaprema/status/1603146551396036608,"Final Argentina vs Francis. Siapa yg menang?
Italia.
Lho
Sekarang kalau tolol bisa populer. Misal membahas  pemilu ditunda, perpanjangan jabatan, 3 periode atau... letkol titular.
Hahaha14",,,,6,7,22,,
3288,Pelatih Tidur ,@PelatihBart,2022-12-14 20:06:07+00:00,https://twitter.com/PelatihBart/status/1603119160481181696,"3 Agenda Oligarki menurut Masinton Pasaribu : 

Plan A : 3 Periode Jokowi
Plan B : Penundaan Pemilu 2024
Plan C : Mendukung Calon Boneka

Trus dari 3 skenario itu PDIP jadinya dukung plan yg mana? 

https://twitter.com/Wongcerbon9661/status/1602699177640996870/video/1…",,,,2,3,7,,
3289,Anis Fauzan,@anisfauzan1,2022-12-14 15:18:24+00:00,https://twitter.com/anisfauzan1/status/1603046754672586752,"Dengan ditetapkannya Nomor Urut Partai Politik peserta pemilu 2024 malam ini, semoga tak ada lagi yg mengusulkan penundaan Pemilu. 

Kita S14P menyambut hajatan Demokrasi dengan riang gembira. 

Kita S14P menyongsong regenerasi kepemimpinan bangsa..",,,,3,7,25,,
3290,LaNyalla Academia {LNM},@LaNyallaAcademy,2022-12-14 14:45:24+00:00,https://twitter.com/LaNyallaAcademy/status/1603038453234647047,"2.}
DPD Siap Jadi Palang Pintu Hadang Penundaan Pemilu, LaNyalla: Tak Ada Urusan dengan Oligarki

https://sulsel.fajar.co.id/2022/03/21/dpd-siap-jadi-palang-pintu-hadang-penundaan-pemilu-lanyalla-tak-ada-urusan-dengan-oligarki/3/…

#lanyalla #tolakpenundaanpemilu",sulsel.fajar.co.id,"DPD Siap Jadi Palang Pintu Hadang Penundaan Pemilu, LaNyalla: Tak Ada Urusan dengan Oligarki","FAJAR.CO.ID, JAKARTA – Ketua DPD RI, AA LaNyalla Mahmud Mattalitti, menegaskan lembaga yang dipimpinnya siap menjadi palang pintu untuk menghadang wacana penundaan pemilu. ""Upaya-upaya untuk menunda…",4,2,3,,@LaNyallaAcademy
3291,ibnu purna,@ibnupurna,2022-12-14 14:31:44+00:00,https://twitter.com/ibnupurna/status/1603035012814995459,Pakar hukum tata negara Prof Yusri Ihza Mahendra yg menyatakan penundaan Pemilu 2024 justru akan menimbulkan kondisi buruk bagi bangsa & negara. Dari paparan Yusril yang dikutip oleh http://Kompas.com menyebut adanya lima dampak buruk yang ditimbulkannya. Wajib baca,,,,2,13,56,,
3292,josmurinho,@josmurinho,2022-12-14 13:28:13+00:00,https://twitter.com/josmurinho/status/1603019026447630337,Harmoko jabatanya di samping ketua Golkar juga ketua MPR. Dialah yg memproklamirkan untuk memilih kembali Presiden Soeharto.Tentu tdk jauh beda kan.? Dengan ketua MPR yg sekarang yg mendengungkan penundaan pemilu dan perubahan konstitusi negara.,,,,1,6,14,,
3293,OposisiCerdas.com,@OposisiCerdas,2022-12-14 12:44:42+00:00,https://twitter.com/OposisiCerdas/status/1603008077003096064,Muslihat Penguasa dan Oligarki: Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024,oposisicerdas.com,Muslihat Penguasa dan Oligarki: Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024,Pengamat politik Rocky Gerung menilai wacana perpanjangan masa jabatan Presiden Joko Widodo lewat penundaan Pemilu sengaja digaungkan kembal...,9,30,39,,
3294,Democrazy News,@democrazymedia,2022-12-14 12:40:00+00:00,https://twitter.com/democrazymedia/status/1603006892892102659,Muslihat Penguasa dan Oligarki: 'Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024',democrazy.id,Muslihat Penguasa dan Oligarki: 'Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024',Muslihat Penguasa dan Oligarki: 'Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024',5,30,50,,
3295,Teddy Gusnaidi,@TeddGus,2022-12-14 12:14:33+00:00,https://twitter.com/TeddGus/status/1603000488969895937,Partai Garuda: Perppu 1/2022 Mengakhiri Wacana Presiden 3 Periode dan Penundaan Pemilu,politik.rmol.id,Partai Garuda: Perppu 1/2022 Mengakhiri Wacana Presiden 3 Periode dan Penundaan Pemilu,Isu penundaan pemilu hingga presiden tiga periode yang sempat ramai di perdebatan politik Tanah Air kini dinilai sudah berakhir melalui,3,12,87,,
3296,GELORA NEWS,@geloraco,2022-12-14 12:02:42+00:00,https://twitter.com/geloraco/status/1602997507516424192,Muslihat Penguasa dan Oligarki: Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024,gelora.co,Muslihat Penguasa dan Oligarki: Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024,,25,19,52,,
3297,Amir DPC PD Kab. Gayo Lues,@AmirDemokrat,2022-12-14 11:18:02+00:00,https://twitter.com/AmirDemokrat/status/1602986266202546176,Wasekjen Demokrat @jansen_jsp Minta Masyarakat Tidak Pilih Pendukung Penundaan Pemilu,tajukpolitik.com,Wasekjen Demokrat Minta Masyarakat Tidak Pilih Pendukung Penundaan Pemilu - Tajuk Politik,"TajukPolitik - Wasekjen Demokrat, Jansen Sitindaon menegaskan pihak yang mendukung penundaan pemilu harus dihukum pada pemilu mendatang.",5,15,67,,
3298,Deslini,@Deslini2,2022-12-15 00:07:33+00:00,https://twitter.com/Deslini2/status/1603179922721505285,"Knp kau makhluk..?
Stress ya Anies smakin Melangit?
Si Bamsoet Ketua MPR aja habis di kritik krn minta Pemilu ditunda
Kau Rakyat Kecil pula yg minta Pemilu ditunda?
Siapa yg mau peduli sm kau Makhluk?
Iiiih..Lucunyalah kau ya
Capek kali kau brbuat bgtu
Kasihan kau
Neh Capres 2024",,,,1,1,20,,@nusantara_one
3299,Andi Darwis Syarifuddin,@AndiDarwis71,2022-12-14 23:22:31+00:00,https://twitter.com/AndiDarwis71/status/1603168587715608576,Politisi yg meminta Pemilu 2024 ditunda sedang sakit.,,,,3,10,35,,
3300,Djumadi Partosemito,@DjumadiPartose1,2022-12-14 22:14:58+00:00,https://twitter.com/DjumadiPartose1/status/1603151587169693697,Udah ribut dari awal....pertanda pemilu ditunda?,,,,1,,2,,@alisyarief
3301,MpuJayaPrema-ᬫ᭄ᬧᬸᬚᬬ᭢ᬧ᭄ᬭᬫ,@mpujayaprema,2022-12-14 21:54:57+00:00,https://twitter.com/mpujayaprema/status/1603146551396036608,"Final Argentina vs Francis. Siapa yg menang?
Italia.
Lho
Sekarang kalau tolol bisa populer. Misal membahas  pemilu ditunda, perpanjangan jabatan, 3 periode atau... letkol titular.
Hahaha14",,,,6,7,22,,
3302,Pelatih Tidur ,@PelatihBart,2022-12-14 20:06:07+00:00,https://twitter.com/PelatihBart/status/1603119160481181696,"3 Agenda Oligarki menurut Masinton Pasaribu : 

Plan A : 3 Periode Jokowi
Plan B : Penundaan Pemilu 2024
Plan C : Mendukung Calon Boneka

Trus dari 3 skenario itu PDIP jadinya dukung plan yg mana? 

https://twitter.com/Wongcerbon9661/status/1602699177640996870/video/1…",,,,2,3,7,,
3303,Anis Fauzan,@anisfauzan1,2022-12-14 15:18:24+00:00,https://twitter.com/anisfauzan1/status/1603046754672586752,"Dengan ditetapkannya Nomor Urut Partai Politik peserta pemilu 2024 malam ini, semoga tak ada lagi yg mengusulkan penundaan Pemilu. 

Kita S14P menyambut hajatan Demokrasi dengan riang gembira. 

Kita S14P menyongsong regenerasi kepemimpinan bangsa..",,,,3,7,25,,
3304,LaNyalla Academia {LNM},@LaNyallaAcademy,2022-12-14 14:45:24+00:00,https://twitter.com/LaNyallaAcademy/status/1603038453234647047,"2.}
DPD Siap Jadi Palang Pintu Hadang Penundaan Pemilu, LaNyalla: Tak Ada Urusan dengan Oligarki

https://sulsel.fajar.co.id/2022/03/21/dpd-siap-jadi-palang-pintu-hadang-penundaan-pemilu-lanyalla-tak-ada-urusan-dengan-oligarki/3/…

#lanyalla #tolakpenundaanpemilu",sulsel.fajar.co.id,"DPD Siap Jadi Palang Pintu Hadang Penundaan Pemilu, LaNyalla: Tak Ada Urusan dengan Oligarki","FAJAR.CO.ID, JAKARTA – Ketua DPD RI, AA LaNyalla Mahmud Mattalitti, menegaskan lembaga yang dipimpinnya siap menjadi palang pintu untuk menghadang wacana penundaan pemilu. ""Upaya-upaya untuk menunda…",4,2,3,,@LaNyallaAcademy
3305,ibnu purna,@ibnupurna,2022-12-14 14:31:44+00:00,https://twitter.com/ibnupurna/status/1603035012814995459,Pakar hukum tata negara Prof Yusri Ihza Mahendra yg menyatakan penundaan Pemilu 2024 justru akan menimbulkan kondisi buruk bagi bangsa & negara. Dari paparan Yusril yang dikutip oleh http://Kompas.com menyebut adanya lima dampak buruk yang ditimbulkannya. Wajib baca,,,,2,13,56,,
3306,josmurinho,@josmurinho,2022-12-14 13:28:13+00:00,https://twitter.com/josmurinho/status/1603019026447630337,Harmoko jabatanya di samping ketua Golkar juga ketua MPR. Dialah yg memproklamirkan untuk memilih kembali Presiden Soeharto.Tentu tdk jauh beda kan.? Dengan ketua MPR yg sekarang yg mendengungkan penundaan pemilu dan perubahan konstitusi negara.,,,,1,6,14,,
3307,OposisiCerdas.com,@OposisiCerdas,2022-12-14 12:44:42+00:00,https://twitter.com/OposisiCerdas/status/1603008077003096064,Muslihat Penguasa dan Oligarki: Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024,oposisicerdas.com,Muslihat Penguasa dan Oligarki: Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024,Pengamat politik Rocky Gerung menilai wacana perpanjangan masa jabatan Presiden Joko Widodo lewat penundaan Pemilu sengaja digaungkan kembal...,9,30,39,,
3308,Democrazy News,@democrazymedia,2022-12-14 12:40:00+00:00,https://twitter.com/democrazymedia/status/1603006892892102659,Muslihat Penguasa dan Oligarki: 'Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024',democrazy.id,Muslihat Penguasa dan Oligarki: 'Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024',Muslihat Penguasa dan Oligarki: 'Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024',5,30,50,,
3309,Teddy Gusnaidi,@TeddGus,2022-12-14 12:14:33+00:00,https://twitter.com/TeddGus/status/1603000488969895937,Partai Garuda: Perppu 1/2022 Mengakhiri Wacana Presiden 3 Periode dan Penundaan Pemilu,politik.rmol.id,Partai Garuda: Perppu 1/2022 Mengakhiri Wacana Presiden 3 Periode dan Penundaan Pemilu,Isu penundaan pemilu hingga presiden tiga periode yang sempat ramai di perdebatan politik Tanah Air kini dinilai sudah berakhir melalui,3,12,87,,
3310,GELORA NEWS,@geloraco,2022-12-14 12:02:42+00:00,https://twitter.com/geloraco/status/1602997507516424192,Muslihat Penguasa dan Oligarki: Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024,gelora.co,Muslihat Penguasa dan Oligarki: Bikin Jokowi Tiga Periode Lewat Penundaan Pemilu 2024,,25,19,52,,
3311,Amir DPC PD Kab. Gayo Lues,@AmirDemokrat,2022-12-14 11:18:02+00:00,https://twitter.com/AmirDemokrat/status/1602986266202546176,Wasekjen Demokrat @jansen_jsp Minta Masyarakat Tidak Pilih Pendukung Penundaan Pemilu,tajukpolitik.com,Wasekjen Demokrat Minta Masyarakat Tidak Pilih Pendukung Penundaan Pemilu - Tajuk Politik,"TajukPolitik - Wasekjen Demokrat, Jansen Sitindaon menegaskan pihak yang mendukung penundaan pemilu harus dihukum pada pemilu mendatang.",5,15,67,,
3312,Syarman Lawyer,@Syarman59,2022-12-14 11:09:04+00:00,https://twitter.com/Syarman59/status/1602984008807161857,"Tenang dul, PERPU PEMILU 2024 sudah kelar, tak ada penundaan.
Munculnya wacana penundaan dan tiga periode itu karna belum ada Capres yg lebih baik dari Jokowi.",,,,10,15,57,,
3313,palguna palgunadi,@dpalgunadi1,2022-12-14 10:13:47+00:00,https://twitter.com/dpalgunadi1/status/1602970096539869184,"Postingan kadrun seragam semua, isu penundaan pemilu, tapi  ga pake logika yg cerdas untuk mainin isu penundaan pemilu

Padahal tahapan pemilu 2024 sudah jalan, jadi ga mungkin ada penundaan pemilu lagi",,,,1,,3,,@Mdy_Asmara1701
3314,ari ea habibi,@juhari_aja,2022-12-14 10:02:10+00:00,https://twitter.com/juhari_aja/status/1602967175479918592,pembohong .mirip tipis dengan pendusta... kalau pemilu di tunda itu lebih berbahaya lagi bagi bangsa dan negara.pasalnya .hukum sudah rusak.institusi sudah di perkosa.keadilan sudah musnah...apa bedanya dengan penundaan ...lalah lebih parah kalau pemilu di tunda,,,,1,1,2,,
3315,Partai Demokrat,@PDemokrat,2022-12-14 09:40:00+00:00,https://twitter.com/PDemokrat/status/1602961593989488645,"Wasekjen DPP Partai Demokrat Jansen Sitindaon berharap masyarakat mencatat nama-nama pendukung penundaan pemilu. Jansen bahkan mengajak masyarakat menghukum mereka saat pemilu.

Sebab jika diberi jabatan yg lebih besar lagi, akan berbahaya!

#DemokratS14P
AHY Pemimpin Perubahan",,,,107,57,188,,
3316,darkmatter,@warriorReborn1,2022-12-14 06:56:10+00:00,https://twitter.com/warriorReborn1/status/1602920366552547328,"gawat persiapan penundaan pemilu - narasinya model2 seperti ini, ketua mpr jg sama - stuasi gampang diatur mau damai mau ribut mau model apa?",,,,2,12,14,,
3317,ajengcute16,@ajengcute16__,2022-12-14 06:49:44+00:00,https://twitter.com/ajengcute16__/status/1602918748075462656,"Makin Kencang Isu Penundaan Pemilu, Benny K Harman: Penguasa Cemas Jika Anies Baswedan Presiden",tajukpolitik.com,"Makin Kencang Isu Penundaan Pemilu, Benny K Harman: Penguasa Cemas Jika Anies Baswedan Presiden -...",TajukPolitik - Benny K Harman menilai makin kencang gaungan penundaan Pemilu 2024 karena penguasa cemas Anies Baswedan jadi presiden.,7,16,78,,
3318,FaceOnReality,@SuwandaBen,2022-12-14 06:40:37+00:00,https://twitter.com/SuwandaBen/status/1602916452151197696,"Wakil DPD RI Sultan Najamudin.
DPD Tegaskan Pemilu 2024 tdk akan Ditunda!

Lembaga kita (DPD) Sampai Saat ini Belum Membahas Perihal Penundaan Pemilu 2024

Wacana penundaan pemilu dari mulut Ketua DPD La Nyalla Pendapat Pribadi tdk mewakili Lembaga Negara
https://populis.id/read43406/dpd-tegaskan-pemilu-2024-tidak-akan-ditunda…",,,,1,5,9,,
3319,Maudy Asmara,@Mdy_Asmara1701,2022-12-14 06:30:04+00:00,https://twitter.com/Mdy_Asmara1701/status/1602913798100160512,"Makin Kencang Isu Penundaan Pemilu, Benny K Harman: Penguasa Cemas Jika Anies Baswedan Presiden",tajukpolitik.com,"Makin Kencang Isu Penundaan Pemilu, Benny K Harman: Penguasa Cemas Jika Anies Baswedan Presiden -...",TajukPolitik - Benny K Harman menilai makin kencang gaungan penundaan Pemilu 2024 karena penguasa cemas Anies Baswedan jadi presiden.,255,416,"1,837",,
3320,BiakNumfor,@BiakNumfor2018,2022-12-14 05:07:14+00:00,https://twitter.com/BiakNumfor2018/status/1602892950165651457,"Jangan2..""? bapak ini mau ciptakan situasi tak stabil. Agar pemilu ditunda.",,,,1,,,,@Hasbil_Lbs
3321,Rommi.irawan,@IrawanRommi,2022-12-14 04:34:05+00:00,https://twitter.com/IrawanRommi/status/1602884608709664770,"Pelaku begal partai, mengatakan bahaya pemilu, bisa akibatkan seperti timur tengah. Seharusnya anda berkata, jika PEMILU DITUNDA INDONESIA BISA SEPERTI TIBET DAN UIGHUR. Di jajah negara China...",,,,1,3,14,,
3322,Ust Fiman Hadait Munthe,@HadaitFiman,2022-12-14 03:50:37+00:00,https://twitter.com/HadaitFiman/status/1602873669717753857,"Mereka bilang kemungkinan Pemilu 2024 ditunda krn krisis.
Yuk kita bilang Pemilu di MAJUKAN saja Sebelum Krisis. Agar Demokrasi tetap terjaga sehat.
Gimana....?Gimana...? Ape lho ",,,,5,14,39,,
3323,Teddy Gusnaidi,@TeddGus,2022-12-14 03:06:36+00:00,https://twitter.com/TeddGus/status/1602862593479127040,"1. Wacana 3 periode, penundaan pemilu dan banyak wacana lain terkait Pemilu, sudah selesai. Presiden telah menerbitkan Perppu tentang Pemilu. Dalam Perppu sama sekali tidak ada pasal yang bersentuhan dgn wacana2 tersebut. Jadi sudahi wacana itu, karena sudah tidak lagi relevan.",,,,30,49,283,,
3324,OposisiCerdas.com,@OposisiCerdas,2022-12-14 02:50:17+00:00,https://twitter.com/OposisiCerdas/status/1602858485372579842,"Wacana Penundaan Pemilu, Habib Umar Al-Hamid: Mampukah PDIP dan Megawati Bertahan dengan Idealismenya?",oposisicerdas.com,"Wacana Penundaan Pemilu, Habib Umar Al-Hamid: Mampukah PDIP dan Megawati Bertahan dengan Idealism...",Wacana penundaan pemilu sepertinya terus dihembuskan oleh pihak-pihak yang belum ikhlas dan gundah akan kekuasaan yang sebentar lagi akan be...,3,18,43,,
3325,iw,@IsoWira,2022-12-14 02:46:28+00:00,https://twitter.com/IsoWira/status/1602857525841645569,Penundaan pemilu atau perpanjangan masa jabatan tanpa sebab yang jelas dan kuat. Siapapun yang yang menggaungkan adalah manusia-manusia tak punya malu.,,,,1,1,4,,@jansen_jsp
3326,14#RepublikDagelan,@panca66,2022-12-14 02:40:52+00:00,https://twitter.com/panca66/status/1602856118300348416,"Siapa pun yang kemudian mendorong penundaan pemilu ini, tolong pendengar CNN catat namanya. Itulah bukti komitmen mereka terhadap demokrasi kita. Hukum besok mereka di pemilu…” kata @jansen_jsp berkelas betul argumennya ",,,,27,115,505,,
